CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID
"840","63","916",CHOWAN RIVER,false,36.45,-76.9833333,"3","27","1","2"
"840","63","917",Cherokee,true,35.516915,-83.294801,"23","28","1","2"
"840","80","1",JOHNS ISLE,false,32.7927447,-80.1081539,"3","27","1","1"
"840","80","2",JAMESTOWN,true,33.2862522,-79.6942904,"3","27","1","1"
"840","80","3",HARDEEVILLE,true,32.2511024,-81.0334581,"3","27","1","1"
"840","80","4",ROME,true,33.6458617,-79.4348459,"3","27","1","1"
"840","80","5",HOLLY HILL,true,33.3222497,-80.4614109,"4","27","1","1"
"840","80","6",COWARD,true,34.0240154,-79.7849141,"4","27","1","1"
"840","80","7",FORESTON,true,33.6866717,-80.0543589,"4","27","1","1"
"840","80","8",NEW HOLLAND,true,33.6937497,-81.4906299,"4","27","1","1"
"840","80","9",WAGENER,true,33.7228886,-81.3572843,"4","27","1","1"
"840","80","10",DILLON,true,34.5006527,-79.4239119,"4","27","1","1"
"840","80","11",BISHOPVILLE,true,34.1944419,-80.2141711,"4","27","1","1"
"840","80","12",BOYKIN ML PD,false,34.1121757,-80.5795979,"4","27","1","1"
"840","80","13",WALTERBORO,true,32.8571976,-80.6511435,"3","27","1","1"
"840","80","14",LITTLE MTN,false,34.1960217,-81.4124759,"11","29","1","1"
"840","80","15",SALEM XRD,true,34.4494097,-81.2818969,"11","29","1","1"
"840","80","16",PENDLETON,false,34.7060587,-82.6769029,"11","29","1","1"
"840","80","17",OWINGS,false,34.7696567,-82.1291429,"11","29","1","1"
"840","80","18",BARTON CREEK,true,34.6616003,-83.2805093,"11","29","1","1"
"840","80","19",BOILING SPGS,false,35.0827867,-81.9796069,"11","29","1","1"
"840","80","20",LANDRUM,false,35.1785347,-82.2119889,"11","28","1","1"
"840","80","21",PLUM BRANCH,true,33.8064239,-82.2729506,"11","29","1","1"
"840","80","22",NIXONVILLE,false,33.8538817,-78.8192379,"3","27","1","1"
"840","80","23",New Ellenton,true,33.54348,-81.67438,"4","27","1","1"
"840","80","24",Ward,true,33.843058,-81.715567,"4","27","1","1"
"840","80","25",Campobello,true,35.055104,-82.15584,"11","29","1","1"
"840","80","26",Whitmire,true,34.388972,-81.735572,"11","29","1","1"
"840","80","27",Green Sea,true,34.194067,-79.073733,"3","27","1","1"
"840","80","28",Kingstree,true,33.697569,-79.635523,"3","27","1","1"
"840","80","29",Lowrys,true,34.765903,-81.216292,"11","29","1","1"
"840","80","30",Ridgeway,true,34.319833,-80.9424,"4","29","1","1"
"840","80","31",Salem,true,34.926442,-83.014022,"11","29","1","1"
"840","80","50",BLACKSBURG,true,35.0799639,-81.5465039,"11","29","1","1"
"840","80","51",GREENWOOD,true,34.0395565,-82.0911916,"11","29","1","1"
"840","80","52",JOANNA,true,34.2121984,-81.8252707,"11","29","1","1"
"840","80","53",MOUNT PISGAH,true,34.5830237,-80.4444509,"4","27","1","1"
"840","80","54",BENNETTSVILLE,true,34.7417067,-79.8130029,"4","27","1","1"
"840","80","55",OLAR,true,33.1451427,-81.0479519,"4","27","1","1"
"840","80","56",PINEWOOD,true,33.7674907,-80.5391859,"4","27","1","1"
"840","80","57",CARVERS BAY,true,33.6193783,-79.327825,"3","27","1","1"
"840","80","58",NIXVILLE,true,32.7502126,-81.0471784,"4","27","1","1"
"840","80","59",DALE,true,32.5362314,-80.6830998,"3","27","1","1"
"840","80","101",ADAMS RUN,true,32.9525947,-80.2609479,"3","27","1","1"
"840","80","112",CAUTHENS XRD,true,34.6203357,-80.7700429,"11","29","1","1"
"840","80","114",PROSPERITY,true,34.0867789,-81.4778659,"11","29","1","1"
"840","80","116",ANDERSON,true,34.6896995,-82.6539427,"11","29","1","1"
"840","80","117",OWINGS 2,true,34.7522612,-82.1092506,"11","29","1","1"
"840","80","119",CHESNEE,true,35.0971457,-81.9817129,"11","29","1","1"
"840","80","120",OSBORN MTN.,false,35.1961517,-82.2929779,"23","28","1","1"
"840","80","122",RED BLUFF,true,33.8544267,-78.8155657,"3","27","1","1"
"840","80","220",BATTLECREEK,true,34.7497507,-83.2890849,"23","28","1","1"
"840","80","900",SANDHILLS,true,34.5478477,-80.1728969,"4","27","1","2"
"840","80","901",KIAWAH ISLAND,true,32.6041275,-80.1555591,"3","27","1","2"
